matchId,gameMode,queueId,gameDuration,tier,platform
VN2_1241337864,URF,900,1510,BRONZE,br1
VN2_1227339257,CLASSIC,420,3013,BRONZE,br1
VN2_1250545688,CLASSIC,420,1655,BRONZE,br1
VN2_1242611682,CLASSIC,420,78,BRONZE,br1
VN2_1239321638,CLASSIC,420,1975,BRONZE,br1
VN2_1252544155,CLASSIC,440,1908,BRONZE,br1
VN2_1248958894,URF,900,1136,BRONZE,br1
VN2_962486587,ARAM,450,1215,BRONZE,br1
VN2_1176180669,CLASSIC,420,2161,BRONZE,br1
VN2_1224176882,SWIFTPLAY,480,1361,BRONZE,br1
VN2_1223531261,CLASSIC,420,1970,BRONZE,br1
VN2_1230583407,CLASSIC,400,1572,BRONZE,br1
VN2_1207508038,CLASSIC,420,2674,BRONZE,br1
VN2_1239340649,CLASSIC,420,1877,BRONZE,br1
VN2_1251152723,CLASSIC,420,121,BRONZE,br1
VN2_1253543688,URF,900,1063,BRONZE,br1
VN2_1243917721,CLASSIC,420,2265,BRONZE,br1
VN2_1223894859,CLASSIC,420,1745,BRONZE,br1
VN2_1254552581,URF,900,928,BRONZE,br1
VN2_1237969218,CLASSIC,420,1693,BRONZE,br1
VN2_1253937229,URF,900,1393,BRONZE,br1
VN2_1236163459,CLASSIC,420,2131,BRONZE,br1
VN2_1254474666,URF,900,1292,BRONZE,br1
VN2_1251977444,CLASSIC,420,2159,BRONZE,br1
VN2_1243013900,CLASSIC,420,1609,BRONZE,br1
VN2_1240851260,URF,900,1359,BRONZE,br1
VN2_1254214941,URF,900,1824,BRONZE,br1
VN2_1224629035,CLASSIC,420,2134,BRONZE,br1
VN2_1231778782,URF,900,1053,BRONZE,br1
VN2_1233323415,CLASSIC,420,2407,BRONZE,br1
VN2_1248467022,CLASSIC,420,1737,BRONZE,br1
VN2_1197696868,URF,900,1150,BRONZE,br1
VN2_1212916697,CLASSIC,420,1499,BRONZE,br1
VN2_1251013344,SWIFTPLAY,480,1194,BRONZE,br1
VN2_1248094579,CLASSIC,420,2820,BRONZE,br1
VN2_1254102393,CLASSIC,420,2075,BRONZE,br1
VN2_1237278584,CLASSIC,420,2198,BRONZE,br1
VN2_1251633263,CLASSIC,440,1901,BRONZE,br1
VN2_1232515800,CLASSIC,420,1997,BRONZE,br1
VN2_1248245653,ARAM,450,982,BRONZE,br1
VN2_1245966301,URF,900,893,BRONZE,br1
VN2_1251336340,CLASSIC,420,1421,BRONZE,br1
VN2_1245880935,URF,900,1123,BRONZE,br1
VN2_1249099263,URF,900,1333,BRONZE,br1
