tier,division,puuid,leagueId,leaguePoints,wins,losses,hotStreak,veteran,freshBlood,inactive
BRONZE,III,EBbAQHpFhylRtzDWAdF9ApuIv3gg_itzTKSY561i94HLJMs_jM7scWryscWq6NLj77XiP6OiraZb5g,21eb6e70-f24d-4566-b575-6203c9e1dccb,70,0,8,False,False,False,False
BRONZE,III,VoUZr-Ra8Myit6KjqugZ75wU5KWMp-J7rbC881QTx9UcN8jU9lWz8PZIhxIhjm3klhEu6sVNDAl-Iw,3f55ac6f-ed07-4478-a579-3e34ca5dc1ba,24,13,15,False,False,False,False
BRONZE,III,Kc2tzvF7Nh16wruN8q4taO-LIChHzq5aLEkEHGP-5eWjpnH5RNvtaY3IR4wR4Id3O3IJRNQurUifGw,6499507a-f447-4c0f-88cb-653e14f13652,45,8,6,False,False,False,False
BRONZE,II,39xZdOEuh73I1NJq57dt4x5CIeldTr8-x_1z1PobONhUHa79BTF0B5Srw3a_trHEbTo-7owzBT9UyA,713dba03-aa1c-449f-9bcb-a608224dd90e,60,1,4,False,False,False,False
BRONZE,II,BLOems4zV_auA5xB7Fj8B9i48R3rVTWg5KpDgfs8ZlYPPtAbeAJIwnm9MX6pIHqsylO6lahP4U5WJg,2ebed16d-af60-4add-86df-d89807bfedd4,3,17,15,False,False,False,False
BRONZE,III,BiKPVk9ajttM82z7W2vQ46KG-1a6rUj7W5qConhCcSDzvfKhGBbhSQ16KhsNNyJCCR0kj-EtHtanoQ,42e5a25b-e587-4fbd-8d1e-dc3a93850280,6,27,33,False,False,False,False
BRONZE,II,lMCZpUzBJN44CTUQsPXmI8fKnk7NlJN1ZIUrxcjyPmgnXCcTHWfMgbhAfBopnUduNrk7LvCnlxWbbg,dab01d14-b568-46d9-b4da-206d86000453,63,17,13,False,False,False,False
BRONZE,I,6-O2J9xGUu2woFdR1lKr47MBp6wthejq_PusWg0CYoQL_yDL0ijfFiEdskF20l4_ByiqrW3nVxrHvQ,d8c8ed27-5fad-492b-8233-3f182c9ae328,6,19,30,False,False,False,False
BRONZE,III,m-Bkn2u1KMKj8jC2pG-u3FO_hcxXH6wN9oRsA-RqWCVKsKSku32m9q-OxvwOTLp78BjI5pV6Dj2O0g,563dda02-9c78-4aec-9a4e-533c82b7799f,0,5,3,False,False,False,False
BRONZE,II,-Q2SjxS6g4D_xAr8Nssv2CSy8zxq6yS3SAW7Di62kfivchhRHYeC2bLWp_UdImPy5Oj8r9lSm3_Ezw,150d2fb8-4477-4c7b-95c0-433ccbe4cf4f,72,26,28,False,False,False,False
BRONZE,IV,yc37Ne8o_Qvyvn0JsQvN8GqPaH1jHN4OXVLtASmQmZrWr-P_vFRf2uPEARawWZXNH0gLOxv2BVEFpA,a3b506ad-cde7-426c-8de0-ca42553ce85a,44,4,4,False,False,False,False
BRONZE,IV,7H5UCUIhDS9ZS_rOtS154Olw5FxfAOPU61V4nJ5Oumg7ljDmF98lumDaZ5uEs7o9w4FOTK4DEvmWmw,53532154-72a5-4078-8724-49eaef5ad5b7,88,6,6,False,False,False,False
BRONZE,II,rwCzI5xyD2v5QrUrjXSBvPHV010aApAW_uGtzjrTMw_p4mtGA0YvbRVG1veDRgAiaYik7a06kCNtdQ,b73b52a3-9e58-4bc0-a94e-40cd029e4cb7,30,3,3,False,False,False,False
BRONZE,II,XSt4Rlj5zzZxWb-1-Zs5jets_e16zV3MRMl9GTAWf-Ues2yyF1teCbva-JctBLvQCn-gE5_FVHjeHw,81f56e8e-0cf0-48c4-b072-a66e53653008,60,4,6,False,False,False,False
BRONZE,I,WT5Qvy6F8YsuGnZFIS75qZJ1hpMCz2BOKYUYpsEhqyKJ1gcxmq5TzFu253iEg6Bbguf-BglrpPeUww,7b0b458c-1abe-4718-a1cf-10ff44181644,30,3,4,False,False,True,False
BRONZE,II,VYsfNCFtqQLGgMKRsihoOI6arrRkT29YyRGVmikEFQLo9g3cnj_5NtrUC1GdxuU3qVkiZ81idvZWgQ,005657e8-6598-42f2-b6ab-d1d236c027bb,10,24,28,False,False,False,False
BRONZE,IV,_LZhoizOBPCOEGr_Uibrn-xNS1XvOmwki_9anlgsY-lF_-I-MyqrjnJDE0TD_Qotvi-skfDjhQjcvA,790196ce-e5f0-45af-a98a-983899428830,0,1,10,False,False,False,False
BRONZE,IV,UQ__Uasv0OfSFnAyK8O-7gMMKB4Jq96iPYb0ADLQpoGD8UzoPsIboP00G75oBdRAdl5Mm3LauvJHvw,230048ae-357f-4d81-81d9-162def0f9405,70,7,9,False,False,False,False
BRONZE,II,LsxHT_pItBHV9w1Hq7A3MQsURsW8m7U4jC47VMYrU6AOLxhTEXqbMC-ir3QhJ361pJ45ELMMSr_iTw,d978743b-242d-497f-bcc3-af2647df0e49,0,2,4,False,False,False,False
BRONZE,III,xTDhouEST6b_4C4aCnJzSzcq8xR3QEQ8bZR-a76_riQ8si37UG8zHSIbIJU6E_gYfi45PZQ61TEUqg,542f5d80-3126-4eff-9f6a-acfe90b5ddf7,79,31,38,False,False,False,False
BRONZE,IV,RG-xT1-DjX8Y3CPM6mX7t8n2NUGdibwRhIShQn4NW2jH5N-RnmUmiDhSr2zpFszPj9-2eehAr-bURg,47b72cef-42fd-4bfd-a3c5-d08c7ddc1000,12,7,9,False,False,True,False
BRONZE,II,lxIMY3_U3W5HblxZ-t91ZIMOghd97VNfTKv62-M_EvM_4Gqx1_86gly5PRc9cjYt0g9_qZgj3eVn7A,2725e87f-a2c5-4481-8302-e13dc286c5dd,63,36,47,False,False,False,False
BRONZE,IV,mbQyxHZB6pyrDgTcmYjWSQ0VE_eHjrYx7euP2ADWh95c6R5GATfpwdcrBhAEhI4Ek-muATLvq3yaAw,617a072e-fc2e-47c2-99e5-839f9605bc86,60,1,4,False,False,False,False
BRONZE,IV,GCqOjy22xOQJL2QpoKJYH_KHMTI2CYXzN-YFwW-de7FCTD4I1_v2P00LcBD4D558zvKq7Tti4tvtPg,9c1a0a32-91c2-4a20-a03b-cf415cc5f889,0,2,5,False,False,False,False
BRONZE,II,sQ3AObLxDc4aAvxOdn2rmC3k69n1ZVweMMiEABkcbi271Q4FiFZ9vxiQ9c7wXFJRLFRlCfLdJ841ew,ba78100d-e31b-4d4e-8118-fa66a0b9513c,57,14,12,False,False,False,False
BRONZE,III,WvtYTxwwrqHC7mlpnI_P_8vQA3FbB4fNfUFm8yng8vLsPCbOwX5fpfTzAj5mso3H2D1DOrtg93UUsA,7303a9c5-3f9a-4f4d-bbb6-f0e7e14018bb,15,5,2,True,False,False,False
BRONZE,II,9MC-gT1hoElnqVKWa1wr5agZqPcC7VWIyMlWIIgN6gXI_vW_C7Cqj5UECvY0pZOkS3KAfbEcyH-BJA,803a0aee-2eb2-454e-8c47-97f1ed417481,49,7,4,False,False,False,False
BRONZE,IV,YuFSDK1a7hQosME8PHQY2B2wiE4U2Aa_-GQIulvjZkfHKZxVIT5cfZVM7sKAcPaxjn2WN2PSE4nU3g,9fbcfff4-3700-41ad-b1e8-d99318236827,85,6,6,False,False,False,False
BRONZE,II,M1BW8y0PqWOFzV9Cf7l3TegBQby9C37wZz3NNnuePuiqd0UQwc5Iy4jUp2hyHLYhDAVouRuwX0e1Ow,cb6f804a-6fde-4d36-b0cb-15eb7b9e139d,64,2,7,False,False,False,False
BRONZE,I,xM33CX-a8P_zbZm9cBqO7DoFRRDkc-D0lH0Wyex37dJsn_jvMsz25I8Jnjms9DGs0stqWlhOyLA_4w,391fa5ac-db86-4faf-b0b2-1fcddebfa82c,28,3,4,False,False,False,False
BRONZE,II,VtSEPTvMwUsxRhEmiFc_tXjgS-eiv0czh3XxHhsCenq5OqmGPFbj4SOAqa43m90lADOwdgaccG5IOg,09262d9b-696d-4563-8df9-d357d35437d8,0,2,4,False,False,False,False
BRONZE,II,f4oIDGi5_pK-g1MHZ7QmzCBoO1gZ6pYNbdSiPZRvzED8yQBnj_z6cJQth2P1EQuIqYF4GMPZWOZuxA,9c41ae04-52ca-414f-b560-7aac44507441,98,3,6,False,False,False,False
BRONZE,I,SvF_VyRtlxUernGIQwo6G0ugXxoSxWsnc4k3Jqs53jHJf97L_akCkKrecTZwVNKr0PwolW-PlKh8VA,004da6e5-023e-412d-a9ca-dc592d1119d7,15,3,6,False,False,False,False
BRONZE,IV,JyXT9SmhmupvrXjTfitfSjlbPK6FpU2AZQ-u79-w0A3uvdEc8KyX0egzaHatyKEQCnvi9NSueJ5ClQ,7f6c9f29-1de3-4bc2-a4d5-2590ee31f2d3,66,15,20,False,False,True,False
BRONZE,I,UnGFgSv7N6VPjn9RWS3TSemED_9NhIuMEvqhfJGR7hyFAUGTh94Smb8um-r39WiT2pfU6GtGOchxUQ,8ea7a1e4-f463-4bac-88a2-e6d5915774ef,10,2,3,False,False,False,False
BRONZE,III,1UF5G_pVoE8Kq5adnqveqbzKzjARHqgmIMjiV3EWAKA2bf9T-RWuMIUUZ3UZJZGae75Kg2cBU1RD1w,ce1a2e94-8e21-4498-9155-b68fe31a2340,97,5,9,False,False,False,False
BRONZE,I,g0OgUCgQHLSLbhweyTRErG8KGHtTcjpbvr7zqugdJqo4wAOjMH9Odc1Jeve1Zz50JZKOZKjp6Cdv9w,bc8fdd53-f1e0-4516-8c94-bcb1468dafd8,93,34,50,False,False,True,False
BRONZE,III,YroL6I2XMR2CWELFxW1JKDTQk2xaMFYNCPaX_sUzJ96z8WIQhlObNdBR--KQUoDBLxB72EQwEqTjgg,62887430-bc7e-439f-b35a-cd1f322c1356,77,70,82,False,False,False,False
BRONZE,IV,OyDSt1CBqIW9cEcav02GqN09933rgRyp1qvtZ1bWXAakXT7RtS0GNoIy3x4_iyeCadGFCHoYruuPwQ,af3fb592-e8bd-4bd8-b110-a6e373896afa,96,13,9,False,False,True,False
